title,id,idPARENT,price,excerpt,images,permalink,categories,tagsALL,tags,type,visibility,status,description
"1 pax",3623,3584,1500,"pasajeros: 1",,https://www.almacenjanus.bio/producto/dormi-grupal/?attribute_pa_pasajeros=1,Dormi Grupal,,,variable,,publish,
"2 pax",3624,3584,2500,"pasajeros: 2",,https://www.almacenjanus.bio/producto/dormi-grupal/?attribute_pa_pasajeros=2,Dormi Grupal,,,variable,,publish,
"3 pax",3625,3584,3000,"pasajeros: 3",,https://www.almacenjanus.bio/producto/dormi-grupal/?attribute_pa_pasajeros=3,Dormi Grupal,,,variable,,publish,
"4 pax",3626,3584,4000,"pasajeros: 4",,https://www.almacenjanus.bio/producto/dormi-grupal/?attribute_pa_pasajeros=4,Dormi Grupal,,,variable,,publish,
"2 pax",3630,3582,3000,"pasajeros: 2",,https://www.almacenjanus.bio/producto/dormi-faimiliar/?attribute_pa_pasajeros=2,Dormi Familiar ,,,variable,,publish,
"3 pax",3631,3582,3500,"pasajeros: 3",,https://www.almacenjanus.bio/producto/dormi-faimiliar/?attribute_pa_pasajeros=3,Dormi Familiar ,,,variable,,publish,
"4 pax",3632,3582,4500,"pasajeros: 4",,https://www.almacenjanus.bio/producto/dormi-faimiliar/?attribute_pa_pasajeros=4,Dormi Familiar ,,,variable,,publish,
"5 pax",3636,3584,5000,"pasajeros: 5",,https://www.almacenjanus.bio/producto/dormi-grupal/?attribute_pa_pasajeros=5,Dormi Grupal,,,variable,,publish,
"6 pax",3637,3584,6000,"pasajeros: 6",,https://www.almacenjanus.bio/producto/dormi-grupal/?attribute_pa_pasajeros=6,Dormi Grupal,,,variable,,publish,
"7 pax",3638,3584,7000,"pasajeros: 7",,https://www.almacenjanus.bio/producto/dormi-grupal/?attribute_pa_pasajeros=7,Dormi Grupal,,,variable,,publish,
"8 pax",3639,3584,7500,"pasajeros: 8",,https://www.almacenjanus.bio/producto/dormi-grupal/?attribute_pa_pasajeros=8,Dormi Grupal,,,variable,,publish,

"1 pax",3641,3640,3000,"pasajeros: 1",,https://www.almacenjanus.bio/producto/cabin-chico/?attribute_pa_pasajeros=1,Cabin Intimista,,,variable,,publish,
"2 pax",3642,3640,3500,"pasajeros: 2",,https://www.almacenjanus.bio/producto/cabin-chico/?attribute_pa_pasajeros=2,Cabin Intimista,,,variable,,publish,

"1 pax",3645,3644,1200,"pasajeros: 1",,https://www.almacenjanus.bio/producto/acampe/?attribute_pa_pasajeros=1,Acampe,,,variable,,publish,
